INDEX,DATE,RATE
RPI,2000-05-01,0.031
RPI,2000-06-01,0.033
RPI,2000-07-01,0.033
RPI,2000-08-01,0.03
RPI,2000-09-01,0.033
RPI,2000-10-01,0.031
RPI,2000-11-01,0.032
RPI,2000-12-01,0.029
RPI,2001-01-01,0.027
RPI,2001-02-01,0.027
RPI,2001-03-01,0.023
RPI,2001-04-01,0.018
RPI,2001-05-01,0.021
RPI,2001-06-01,0.019
RPI,2001-07-01,0.016
RPI,2001-08-01,0.021
RPI,2001-09-01,0.017
RPI,2001-10-01,0.016
RPI,2001-11-01,0.009
RPI,2001-12-01,0.007
RPI,2002-01-01,0.013
RPI,2002-02-01,0.01
RPI,2002-03-01,0.013
RPI,2002-04-01,0.015
RPI,2002-05-01,0.011
RPI,2002-06-01,0.01
RPI,2002-07-01,0.015
RPI,2002-08-01,0.014
RPI,2002-09-01,0.017
RPI,2002-10-01,0.021
RPI,2002-11-01,0.026
RPI,2002-12-01,0.029
RPI,2003-01-01,0.029
RPI,2003-02-01,0.032
RPI,2003-03-01,0.031
RPI,2003-04-01,0.031
RPI,2003-05-01,0.03
RPI,2003-06-01,0.029
RPI,2003-07-01,0.031
RPI,2003-08-01,0.029
RPI,2003-09-01,0.028
RPI,2003-10-01,0.026
RPI,2003-11-01,0.025
RPI,2003-12-01,0.028
RPI,2004-01-01,0.026
RPI,2004-02-01,0.025
RPI,2004-03-01,0.026
RPI,2004-04-01,0.025
RPI,2004-05-01,0.028
RPI,2004-06-01,0.03
RPI,2004-07-01,0.03
RPI,2004-08-01,0.032
RPI,2004-09-01,0.031
RPI,2004-10-01,0.033
RPI,2004-11-01,0.034
RPI,2004-12-01,0.035
RPI,2005-01-01,0.032
RPI,2005-02-01,0.032
RPI,2005-03-01,0.032
RPI,2005-04-01,0.032
RPI,2005-05-01,0.029
RPI,2005-06-01,0.029
RPI,2005-07-01,0.029
RPI,2005-08-01,0.028
RPI,2005-09-01,0.027
RPI,2005-10-01,0.025
RPI,2005-11-01,0.024
RPI,2005-12-01,0.022
RPI,2006-01-01,0.024
RPI,2006-02-01,0.024
RPI,2006-03-01,0.024
RPI,2006-04-01,0.026
RPI,2006-05-01,0.03
RPI,2006-06-01,0.033
RPI,2006-07-01,0.033
RPI,2006-08-01,0.034
RPI,2006-09-01,0.036
RPI,2006-10-01,0.037
RPI,2006-11-01,0.039
RPI,2006-12-01,0.044
RPI,2007-01-01,0.042
RPI,2007-02-01,0.046
RPI,2007-03-01,0.048
RPI,2007-04-01,0.045
RPI,2007-05-01,0.043
RPI,2007-06-01,0.044
RPI,2007-07-01,0.038
RPI,2007-08-01,0.041
RPI,2007-09-01,0.039
RPI,2007-10-01,0.042
RPI,2007-11-01,0.043
RPI,2007-12-01,0.04
RPI,2008-01-01,0.041
RPI,2008-02-01,0.041
RPI,2008-03-01,0.038
RPI,2008-04-01,0.042
RPI,2008-05-01,0.043
RPI,2008-06-01,0.046
RPI,2008-07-01,0.05
RPI,2008-08-01,0.048
RPI,2008-09-01,0.05
RPI,2008-10-01,0.042
RPI,2008-11-01,0.03
